Brand,Minimum Price
"Apple iPhone 15 (Green, 128 GB)",60999.0
"Apple iPhone 15 (Black, 128 GB)",60999.0
"Apple iPhone 15 Plus (Black, 128 GB)",64999.0
"Apple iPhone 15 Plus (Green, 128 GB)",64999.0
"Apple iPhone 15 Plus (Pink, 128 GB)",64999.0
"Apple iPhone 15 (Pink, 128 GB)",60999.0
"Apple iPhone 16 (Black, 128 GB)",74900.0
"Apple iPhone 16 (White, 128 GB)",74900.0
"Apple iPhone 16 (Ultramarine, 128 GB)",74900.0
"Apple iPhone 16 (Teal, 128 GB)",74900.0
"Apple iPhone 16 (Teal, 256 GB)",84900.0
"Apple iPhone 16 Pro (Desert Titanium, 256 GB)",122900.0
"Apple iPhone 16 (Ultramarine, 256 GB)",84900.0
"Apple iPhone 15 (Blue, 128 GB)",60999.0
"Apple iPhone 16 Pro (White Titanium, 256 GB)",122900.0
"Apple iPhone 16 Pro (Desert Titanium, 128 GB)",112900.0
"Apple iPhone 16 (Black, 256 GB)",84900.0
"Apple iPhone 16 Pro (Black Titanium, 256 GB)",122900.0
"Apple iPhone 16 Pro (Black Titanium, 128 GB)",112900.0
"Apple iPhone 16 (Pink, 128 GB)",74900.0
"Apple iPhone 16 Plus (Black, 256 GB)",94900.0
"Apple iPhone 16 Pro (Natural Titanium, 256 GB)",122900.0
"Apple iPhone 16 Pro (Natural Titanium, 128 GB)",112900.0
"Apple iPhone 16 Pro Max (Desert Titanium, 256 GB)",137900.0
